id_reforma,sdv002,sdc002,mdv001_1,mdv001_2,mdv001_3,mdv001_4,sdp002,sdt002,sdt003,sdu001_1,sdu001_2,data_hora_reforma,TipoAlarmeReleResistencia_id_tipo,TipoAlarmeResistencia_id_tipo,id_reacao,sdu002_1,sdu002_2,rotulo
54177,226.76,0.36,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:37:07.149,1,1,196,66.3,23.7,0.0
54178,224.15,0.41,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:37:29.908,1,1,196,66.2,23.7,0.0
54179,225.56,0.33,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:37:52.587,1,1,196,66.2,23.7,0.0
54180,225.76,0.33,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:38:15.369,1,1,196,66.3,23.7,0.0
54181,223.34,0.36,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:38:38.091,1,1,196,66.3,23.7,0.0
54182,222.46,0.38,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:39:00.853,1,1,196,66.3,23.7,0.0
54183,225.99,0.34,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:39:23.616,1,1,196,66.3,23.7,0.0
54184,221.99,0.33,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:39:46.357,1,1,196,66.3,23.7,0.0
54185,229.43,0.39,-1,-1,-1,-1,0.36,22,21,0,0,2024-04-01 06:40:09.035,1,1,196,66.4,23.7,0.0
54186,224.41,0.3,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:40:31.898,1,1,196,69.0,23.7,0.0
54187,224.34,0.29,-1,-1,-1,-1,0.37,21,21,0,0,2024-04-01 06:40:54.752,1,1,196,71.3,23.7,0.0
54188,225.29,0.36,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:41:17.461,1,1,196,72.3,23.7,0.0
54189,238.77,0.31,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:41:40.116,1,1,196,73.1,23.7,0.0
54190,223.16,0.35,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:42:02.839,1,1,196,73.7,23.7,0.0
54191,224.41,0.3,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:42:25.601,1,1,196,72.3,23.7,0.0
54192,224.97,0.26,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:42:48.305,1,1,196,68.8,23.6,0.0
54193,224.86,0.31,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:43:10.976,1,1,196,64.3,23.6,0.0
54194,223.36,0.31,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:43:33.655,1,1,196,59.9,23.6,0.0
54195,223.54,0.34,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:43:56.411,1,1,196,56.1,23.6,0.0
54196,223.08,0.32,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:44:19.096,1,1,196,52.7,23.6,0.0
54197,220.99,0.3,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:44:41.836,1,1,196,50.0,23.6,0.0
54198,224.94,0.32,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:45:04.618,1,1,196,48.1,23.6,0.0
54199,225.91,0.31,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:45:27.284,1,1,196,46.4,23.7,0.0
54200,225.45,0.3,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:45:50.040,1,1,196,45.1,23.7,0.0
54201,229.28,0.33,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:46:12.732,1,1,196,44.0,23.7,0.0
54202,224.75,0.31,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:46:35.504,1,1,196,42.8,23.8,0.0
54203,232.8,0.33,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:46:58.213,1,1,196,41.8,23.9,0.0
54204,225.1,0.31,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:47:21.026,1,1,196,41.0,23.9,0.0
54205,226.77,0.32,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:47:43.703,1,1,196,40.3,23.9,0.0
54206,701.31,27.75,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:48:45.213,1,1,196,38.7,23.9,0.0
54207,404.4,6.54,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:49:07.900,1,1,196,38.2,23.9,0.0
54208,287.71,1.58,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:49:30.679,1,1,196,37.7,24.0,0.0
54209,230.42,0.53,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:49:53.427,1,1,196,37.3,24.0,0.0
54210,226.27,0.32,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:50:16.089,1,1,196,36.9,24.0,0.0
54211,224.22,0.29,-1,-1,-1,-1,0.36,22,21,0,0,2024-04-01 06:50:38.857,1,1,196,36.5,24.0,0.0
54212,220.25,0.36,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:51:01.671,1,1,196,36.1,24.0,0.0
54213,221.42,0.35,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:51:24.341,1,1,196,35.8,24.0,0.0
54214,224.69,0.3,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:51:47.122,1,1,196,35.5,24.0,0.0
54215,226.35,0.3,-1,-1,-1,-1,0.36,22,21,0,0,2024-04-01 06:52:09.804,1,1,196,35.2,24.0,0.0
54216,222.07,0.33,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:52:32.495,1,1,196,34.9,24.0,0.0
54217,225.19,0.32,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:52:55.168,1,1,196,34.6,24.1,0.0
54218,225.81,0.3,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:53:17.852,1,1,196,34.4,24.0,0.0
54219,221.91,15.77,-1,-1,-1,-1,0.37,22,21,0,0,2024-04-01 06:53:40.563,1,1,196,34.1,24.0,0.0
54220,223.78,15.55,-1,-1,-1,-1,0.37,22,22,0,0,2024-04-01 06:54:03.268,1,1,196,33.9,24.1,0.0
54221,219.46,15.54,-1,-1,-1,-1,0.37,22,25,0,0,2024-04-01 06:54:25.947,1,1,196,33.6,24.0,0.0
54222,219.21,15.44,-1,-1,-1,-1,0.37,25,30,0,0,2024-04-01 06:54:48.662,1,1,196,33.4,24.1,0.0
54223,217.84,15.4,-1,-1,-1,-1,0.37,30,36,0,0,2024-04-01 06:55:11.461,1,1,196,33.2,24.1,0.0
54224,222.57,15.41,-1,-1,-1,-1,0.37,38,45,0,0,2024-04-01 06:55:34.199,1,1,196,32.9,24.1,0.0
54225,221.78,15.41,-1,-1,-1,-1,0.37,47,56,0,0,2024-04-01 06:55:56.958,1,1,196,32.7,24.1,0.0
54226,219.49,15.34,-1,-1,-1,-1,0.37,60,69,0,0,2024-04-01 06:56:19.713,1,1,196,32.5,24.0,0.0
54227,211.82,15.26,-1,-1,-1,-1,0.37,77,80,0,0,2024-04-01 06:56:42.404,1,1,196,32.4,24.0,0.0
54228,216.01,6.66,-1,-1,-1,-1,0.37,96,94,0,0,2024-04-01 06:57:05.129,1,1,196,32.4,24.0,0.0
54229,218.68,6.68,-1,-1,-1,-1,0.37,111,107,0,0,2024-04-01 06:57:27.823,1,1,196,32.7,24.0,0.0
54230,223.44,6.66,-1,-1,-1,-1,0.37,133,115,0,0,2024-04-01 06:57:50.581,1,1,196,33.9,24.0,0.0
54231,225.15,6.67,-1,-1,-1,-1,0.37,156,120,0,0,2024-04-01 06:58:13.311,1,1,196,36.1,24.0,0.0
54232,222.66,0.3,-1,-1,-1,-1,0.37,179,125,0,0,2024-04-01 06:58:36.103,1,1,196,38.8,24.0,0.0
54233,220.46,8.84,-1,-1,-1,-1,0.37,202,130,0,0,2024-04-01 06:58:58.864,1,1,196,41.5,24.0,0.0
54234,223.69,8.84,-1,-1,-1,-1,0.37,216,137,0,0,2024-04-01 06:59:21.604,1,1,196,43.8,24.0,0.0
