pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.41,23,25,73.4,25.1,0.0,0
0.4,25,30,73.1,25.2,0.0,1
0.4,30,37,73.0,25.3,0.0,2
0.4,37,44,73.0,25.2,0.0,3
0.39,48,56,72.9,25.3,0.0,4
0.4,57,69,72.8,25.5,0.0,5
0.39,71,83,72.5,25.5,0.0,6
0.4,88,94,72.3,25.7,0.0,7
0.4,106,107,71.7,25.9,0.0,8
0.4,121,115,71.3,26.0,0.0,9
0.4,143,122,71.2,26.1,0.0,10
0.4,166,125,71.0,26.2,0.0,11
0.4,189,129,70.8,26.2,0.0,12
0.4,207,136,70.8,26.1,0.0,13
0.4,227,146,70.9,26.2,0.0,14
0.4,241,156,71.0,26.2,0.0,15
0.4,250,166,71.0,26.1,0.0,16
0.4,256,172,71.0,26.2,0.0,17
0.41,260,178,71.0,26.4,0.0,18
0.41,263,183,70.5,26.6,0.0,19
0.41,267,194,70.3,26.6,0.0,20
0.41,273,204,70.1,26.6,0.0,21
0.41,281,211,70.0,26.7,0.0,22
0.41,295,217,69.8,26.8,0.0,23
0.4,312,223,69.6,26.8,0.0,24
0.4,330,234,69.6,26.8,0.0,25
0.41,344,241,69.7,26.8,0.0,26
0.41,363,250,69.7,26.7,0.0,27
0.41,381,255,69.3,26.9,0.0,28
0.4,392,263,69.5,26.8,0.0,29
0.4,397,274,69.7,26.7,0.0,30
0.4,400,282,69.8,26.7,0.0,31
0.4,405,287,70.1,26.5,0.0,32
0.4,415,295,70.6,26.4,0.0,33
0.41,425,305,70.8,26.3,0.0,34
0.4,440,312,70.5,26.6,0.0,35
0.39,456,317,70.7,26.0,0.0,36
0.4,472,327,71.4,25.8,0.0,37
0.39,484,336,71.8,25.7,0.0,38
0.4,501,342,72.0,25.6,0.0,39
0.39,515,349,72.2,25.6,0.0,40
0.4,522,359,72.4,25.5,0.0,41
0.39,526,366,72.5,25.5,0.0,42
0.4,557,387,72.9,25.6,0.0,43
0.4,567,395,72.9,25.6,0.0,44
0.4,580,403,72.9,25.6,0.0,45
0.4,593,409,73.1,25.6,0.0,46
0.4,605,418,73.2,25.5,0.0,47
0.4,615,426,73.3,25.5,0.0,48
0.4,626,435,73.5,25.5,0.0,49
0.4,638,440,73.6,25.5,0.0,50
0.4,649,449,73.4,25.7,0.0,51
0.4,657,457,72.7,25.9,0.0,52
0.4,667,466,73.0,25.6,0.0,53
0.4,677,472,73.4,25.5,0.0,54
0.4,687,480,73.7,25.4,0.0,55
0.4,694,489,73.7,25.5,0.0,56
0.39,703,496,73.8,25.5,0.0,57
0.4,712,503,73.9,25.4,0.0,58
0.4,720,511,73.9,25.4,0.0,59
0.4,727,520,74.1,25.4,0.0,60
0.4,735,528,74.2,25.3,0.0,61
0.4,742,534,74.3,25.3,0.0,62
0.4,750,542,74.4,25.3,0.0,63
0.4,756,551,74.4,25.3,0.0,64
0.4,763,559,74.5,25.3,0.0,65
0.4,770,565,74.4,25.4,0.0,66
0.41,776,573,74.1,25.5,0.0,67
0.41,781,582,73.9,25.6,0.0,68
0.4,788,590,73.8,25.6,0.0,69
0.4,794,596,73.8,25.6,0.0,70
0.4,800,605,73.7,25.6,0.0,71
0.4,803,613,73.7,25.6,0.0,72
0.4,798,621,73.8,25.6,0.0,73
0.4,794,628,73.8,25.6,0.0,74
0.41,797,636,73.7,25.6,0.0,75
0.4,802,644,73.7,25.6,0.0,76
0.4,801,652,73.8,25.6,0.0,77
0.41,795,654,73.7,25.6,0.0,78
0.41,797,653,73.7,25.6,0.0,79
0.41,802,650,73.7,25.7,0.0,80
0.42,802,650,73.8,25.6,0.0,81
0.41,796,650,73.8,25.6,0.0,82
0.41,797,650,73.9,25.6,0.0,83
0.42,802,650,74.0,25.7,0.0,84
0.41,802,650,73.9,25.7,0.0,85
0.41,797,650,75.0,25.7,0.0,86
0.41,796,650,76.6,25.7,0.0,87
0.42,799,650,77.3,25.0,0.0,88
0.42,796,650,79.0,24.6,0.0,89
0.41,797,650,80.6,24.4,0.0,90
0.42,803,650,81.7,24.3,0.0,91
0.42,800,650,82.5,24.2,0.0,92
0.42,796,650,83.2,24.1,0.0,93
0.42,799,650,83.7,24.1,0.0,94
0.42,803,650,84.3,24.0,0.0,95
0.41,801,650,84.7,24.0,0.0,96
0.42,796,650,85.1,24.0,0.0,97
0.41,798,650,85.3,24.0,0.0,98
0.41,802,650,85.6,24.0,0.0,99
0.41,802,650,85.8,24.0,0.0,100
0.41,796,650,86.0,24.0,0.0,101
0.42,797,650,86.2,24.0,0.0,102
0.41,801,650,86.5,24.0,0.0,103
0.41,802,650,86.8,24.0,0.0,104
0.42,797,650,87.0,24.1,0.0,105
0.42,797,650,87.1,24.1,0.0,106
0.42,801,650,87.3,24.1,0.0,107
0.42,803,650,87.6,24.1,0.0,108
0.41,797,650,87.7,24.2,0.0,109
0.42,797,650,87.9,24.2,0.0,110
0.41,800,650,88.1,24.2,0.0,111
0.41,803,650,88.2,24.2,0.0,112
0.4,798,650,88.4,24.3,0.0,113
0.41,796,650,88.5,24.3,0.0,114
0.41,800,650,88.8,24.3,0.0,115
0.41,803,650,89.1,24.3,0.0,116
0.41,799,650,89.2,24.3,0.0,117
0.41,796,650,89.4,24.4,0.0,118
0.41,799,650,89.5,24.4,0.0,119
0.41,803,650,89.5,24.4,0.0,120
0.41,800,650,89.5,24.5,0.0,121
0.4,796,650,89.6,24.5,0.0,122
0.41,798,650,89.7,24.5,0.0,123
0.41,803,650,89.8,24.5,0.0,124
0.41,800,650,89.8,24.5,0.0,125
0.4,796,650,89.9,24.5,0.0,126
0.41,798,650,89.9,24.5,0.0,127
0.41,803,650,90.0,24.5,0.0,128
0.4,801,650,90.0,24.6,0.0,129
0.4,796,650,90.1,24.6,0.0,130
0.41,799,650,90.2,24.6,0.0,131
0.4,803,650,90.6,24.8,0.0,132
0.41,796,650,92.7,24.6,0.0,133
0.4,801,650,92.7,24.6,0.0,134
0.41,803,650,92.7,24.6,0.0,135
0.41,798,650,92.8,24.6,0.0,136
0.4,796,650,92.8,24.6,0.0,137
0.4,801,650,92.8,24.7,0.0,138
0.41,803,650,92.9,24.7,0.0,139
0.41,798,650,92.9,24.7,0.0,140
0.41,796,650,92.9,24.7,0.0,141
0.41,798,650,93.0,24.7,0.0,142
0.41,803,650,93.0,24.7,0.0,143
0.4,799,650,93.0,24.7,0.0,144
0.4,796,650,93.0,24.7,0.0,145
0.4,799,650,93.0,24.7,0.0,146
0.4,803,650,93.0,24.7,0.0,147
0.4,800,650,93.0,24.7,0.0,148
0.4,796,650,93.0,24.7,0.0,149
0.4,799,650,93.1,24.7,0.0,150
0.4,803,650,93.1,24.7,0.0,151
0.4,800,650,93.1,24.8,0.0,152
0.41,796,650,93.1,24.7,0.0,153
0.41,799,650,93.4,24.7,0.0,154
0.4,803,650,93.5,24.7,0.0,155
0.4,801,650,93.6,24.7,0.0,156
0.41,797,650,93.6,24.7,0.0,157
0.41,798,650,93.6,24.7,0.0,158
0.41,803,650,93.6,24.7,0.0,159
0.4,801,650,93.7,24.7,0.0,160
0.41,797,650,93.7,24.7,0.0,161
0.4,798,650,93.7,24.8,0.0,162
0.41,803,650,93.7,24.8,0.0,163
0.4,801,650,93.7,24.8,0.0,164
0.4,797,650,93.7,24.8,0.0,165
0.4,797,650,93.7,24.8,0.0,166
0.4,803,650,93.8,24.8,0.0,167
0.41,802,650,93.8,24.8,0.0,168
0.41,797,650,93.8,24.8,0.0,169
0.41,797,650,93.8,24.8,0.0,170
0.4,802,650,93.9,24.8,0.0,171
0.41,802,650,93.9,24.8,0.0,172
0.4,797,650,93.9,24.8,0.0,173
0.41,797,650,93.9,24.9,0.0,174
0.4,802,650,93.9,24.8,0.0,175
0.4,803,650,93.9,24.9,0.0,176
0.41,797,650,93.8,24.9,0.0,177
0.41,803,650,93.9,24.9,0.0,178
0.41,801,650,93.9,24.9,0.0,179
0.41,796,650,93.9,24.9,0.0,180
0.4,799,650,93.8,25.0,0.0,181
0.4,803,650,93.8,25.0,0.0,182
0.4,801,650,93.8,25.0,0.0,183
0.4,796,650,93.8,25.0,0.0,184
0.4,799,650,93.8,25.0,0.0,185
0.4,803,650,93.9,25.0,0.0,186
0.41,802,650,93.9,25.0,0.0,187
0.4,797,650,93.9,25.0,0.0,188
0.4,798,650,93.9,25.0,0.0,189
0.4,803,650,93.9,25.0,0.0,190
0.4,801,650,93.9,25.1,0.0,191
0.4,797,650,93.9,25.1,0.0,192
0.4,798,650,93.9,25.0,0.0,193
0.4,802,650,93.9,25.1,0.0,194
0.4,802,650,94.0,25.1,0.0,195
0.4,797,650,94.0,25.0,0.0,196
0.4,797,650,94.1,25.1,0.0,197
