pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.45,555,383,86.7,27.6,0.0,0
0.45,551,405,85.8,27.5,0.0,1
0.45,561,412,85.4,27.7,0.0,2
0.45,575,419,85.0,27.8,0.0,3
0.45,589,430,84.7,27.8,0.0,4
0.45,600,442,84.6,27.7,0.0,5
0.45,614,450,84.8,27.7,0.0,6
0.45,627,455,84.6,27.8,0.0,7
0.45,640,464,84.5,27.8,0.0,8
0.45,650,472,84.3,27.9,0.0,9
0.45,662,481,84.1,28.0,0.0,10
0.45,674,487,83.8,28.1,0.0,11
0.45,685,495,83.6,28.1,0.0,12
0.45,694,503,83.5,28.1,0.0,13
0.45,705,512,83.5,28.1,0.0,14
0.45,715,517,83.4,28.1,0.0,15
0.45,725,526,83.3,28.1,0.0,16
0.44,733,535,83.2,28.1,0.0,17
0.44,742,543,83.4,28.0,0.0,18
0.44,752,549,83.6,27.9,0.0,19
0.44,760,558,84.0,27.8,0.0,20
0.44,767,566,84.2,27.8,0.0,21
0.45,775,574,84.0,27.9,0.0,22
0.44,783,581,83.7,28.0,0.0,23
0.45,791,589,83.8,27.9,0.0,24
0.44,796,596,84.0,27.9,0.0,25
0.44,803,604,83.7,28.0,0.0,26
0.44,797,608,83.9,27.9,0.0,27
0.45,796,620,83.7,28.0,0.0,28
0.44,800,628,83.5,28.1,0.0,29
0.44,801,636,83.4,28.1,0.0,30
0.44,795,642,83.7,28.2,0.0,31
0.44,800,651,84.4,28.2,0.0,32
0.44,802,653,84.7,28.3,0.0,33
0.44,796,652,84.8,28.3,0.0,34
0.44,798,651,84.8,28.3,0.0,35
0.44,803,649,85.0,28.3,0.0,36
0.44,798,650,84.9,28.4,0.0,37
0.44,796,650,84.9,28.4,0.0,38
0.44,803,650,84.9,28.4,0.0,39
0.44,799,651,84.9,28.4,0.0,40
0.44,795,650,84.8,28.5,0.0,41
0.44,801,650,84.6,28.6,0.0,42
0.44,801,650,84.4,28.6,0.0,43
0.44,795,650,84.3,28.7,0.0,44
0.44,799,650,84.3,28.7,0.0,45
0.44,803,650,84.1,28.8,0.0,46
0.44,796,650,84.1,28.8,0.0,47
0.44,799,650,84.2,28.8,0.0,48
0.44,804,650,84.2,29.0,0.0,49
0.44,798,650,84.1,28.9,0.0,50
0.44,797,650,84.1,29.0,0.0,51
0.44,803,650,84.5,29.1,0.0,52
0.45,802,650,84.5,29.2,0.0,53
0.44,795,650,84.3,29.2,0.0,54
0.44,797,650,84.9,29.1,0.0,55
0.44,803,650,85.0,29.1,0.0,56
0.44,799,650,85.2,29.1,0.0,57
0.44,796,650,85.3,29.1,0.0,58
0.44,802,650,85.2,29.2,0.0,59
0.44,802,650,85.4,29.1,0.0,60
0.44,796,650,85.5,29.1,0.0,61
0.44,799,650,85.5,29.2,0.0,62
0.44,803,650,85.5,29.2,0.0,63
0.44,797,650,85.4,29.3,0.0,64
0.44,799,650,85.5,29.2,0.0,65
0.44,804,650,85.4,29.3,0.0,66
0.43,799,649,85.5,29.2,0.0,67
0.43,797,650,85.7,29.1,0.0,68
0.43,804,650,85.5,29.0,0.0,69
0.43,802,650,85.8,29.1,0.0,70
0.43,796,650,85.3,29.3,0.0,71
0.43,802,650,85.1,29.1,0.0,72
0.43,802,650,84.9,29.0,0.0,73
0.43,797,650,85.1,28.9,0.0,74
0.43,799,650,85.1,28.9,0.0,75
0.43,804,650,85.2,28.8,0.0,76
0.44,797,650,85.2,28.8,0.0,77
0.43,797,650,85.2,28.8,0.0,78
0.43,804,650,85.3,28.8,0.0,79
0.44,799,650,85.5,28.9,0.0,80
0.43,797,650,85.5,28.8,0.0,81
0.44,804,650,85.8,29.1,0.0,82
0.44,802,650,85.5,29.2,0.0,83
0.44,796,650,85.5,29.2,0.0,84
0.43,802,650,85.5,29.1,0.0,85
0.43,802,650,85.9,28.7,0.0,86
0.43,797,650,87.1,28.3,0.0,87
0.44,799,650,88.4,28.0,0.0,88
0.43,804,650,89.4,27.8,0.0,89
0.43,797,650,90.1,27.7,0.0,90
0.43,797,650,90.7,27.6,0.0,91
0.43,804,650,91.1,27.5,0.0,92
0.45,800,650,90.3,28.3,0.0,93
0.43,797,650,90.5,27.7,0.0,94
0.44,802,650,91.6,27.5,0.0,95
0.43,802,650,92.0,27.5,0.0,96
0.43,796,650,92.2,27.5,0.0,97
0.43,802,650,92.3,27.5,0.0,98
0.43,803,650,92.4,27.4,0.0,99
0.43,797,650,92.6,27.3,0.0,100
0.43,800,650,92.7,27.3,0.0,101
0.43,803,650,92.8,27.3,0.0,102
0.43,799,650,92.8,27.3,0.0,103
0.43,798,650,92.9,27.3,0.0,104
0.43,804,650,93.0,27.2,0.0,105
0.43,799,650,93.1,27.2,0.0,106
0.43,797,650,93.1,27.3,0.0,107
0.43,799,650,93.3,27.3,0.0,108
0.43,804,650,93.3,27.4,0.0,109
0.43,797,650,93.5,27.4,0.0,110
0.43,797,650,93.5,27.4,0.0,111
0.43,804,650,93.6,27.4,0.0,112
0.43,799,650,93.7,27.4,0.0,113
0.43,797,650,93.8,27.5,0.0,114
0.43,803,650,93.8,27.5,0.0,115
0.43,801,650,93.8,27.5,0.0,116
0.43,796,650,93.8,27.5,0.0,117
0.43,803,650,93.7,27.5,0.0,118
0.43,803,650,93.7,27.5,0.0,119
0.43,797,650,93.6,27.5,0.0,120
0.43,800,650,93.5,27.4,0.0,121
0.43,803,650,93.6,27.4,0.0,122
0.43,799,650,93.6,27.3,0.0,123
0.43,798,650,93.6,27.3,0.0,124
0.43,804,650,93.6,27.2,0.0,125
0.43,799,650,93.6,27.2,0.0,126
0.43,797,650,93.7,27.2,0.0,127
0.43,803,650,93.8,27.1,0.0,128
0.43,801,650,93.8,27.1,0.0,129
0.43,796,650,93.9,27.1,0.0,130
0.43,801,650,94.0,27.1,0.0,131
0.43,803,650,94.0,27.1,0.0,132
0.43,796,650,94.0,27.1,0.0,133
0.43,801,650,94.1,27.1,0.0,134
0.43,804,650,94.1,27.1,0.0,135
0.43,798,650,94.1,27.0,0.0,136
0.45,799,650,94.2,27.1,0.0,137
0.43,804,650,94.1,27.1,0.0,138
0.45,797,650,94.0,27.6,0.0,139
0.43,804,650,93.2,27.2,0.0,140
0.43,800,650,94.1,27.1,0.0,141
0.43,796,650,94.3,27.1,0.0,142
