pressure,reactor temperature,pre-reactor temperature,humidity,local temperature,label,number data,SMA pressure forecast
0.36,23,24,41.7,24.4,0.0,0,0.0
0.36,23,23,28.4,24.3,0.0,1,0.0
0.36,23,23,23.0,24.5,0.0,2,0.0
0.36,23,24,20.9,24.6,0.0,3,0.0
0.36,23,23,20.0,24.6,0.0,4,0.0
0.36,23,23,19.6,24.6,0.0,5,0.0
0.36,23,23,19.4,24.6,0.0,6,0.0
0.36,23,23,19.2,24.6,0.0,7,0.36
0.36,23,23,19.2,24.6,0.0,8,0.36
0.36,23,23,19.2,24.6,0.0,9,0.36
0.36,23,23,19.2,24.6,0.0,10,0.36
0.36,23,23,19.2,24.6,0.0,11,0.36
0.36,23,23,19.2,24.6,0.0,12,0.36
0.36,23,24,19.2,24.6,0.0,13,0.36
0.36,23,24,19.3,24.6,0.0,14,0.36
0.36,23,24,19.3,24.6,0.0,15,0.36
0.36,23,24,19.2,24.6,0.0,16,0.36
0.36,24,24,19.3,24.6,0.0,17,0.36
0.36,23,24,19.3,24.6,0.0,18,0.36
0.36,23,24,19.3,24.6,0.0,19,0.36
0.36,23,24,19.3,24.6,0.0,20,0.36
0.36,23,24,19.3,24.6,0.0,21,0.36
0.36,23,24,19.3,24.6,0.0,22,0.36
0.36,23,24,19.2,24.6,0.0,23,0.36
0.36,23,24,19.3,24.5,0.0,24,0.36
0.36,23,24,19.3,24.6,0.0,25,0.36
0.36,24,24,19.3,24.6,0.0,26,0.36
0.36,24,24,19.3,24.7,0.0,27,0.35875
0.36,24,24,19.2,24.7,0.0,28,0.35875
0.36,23,24,19.1,24.7,0.0,29,0.35874999999999996
0.36,23,23,19.1,24.7,0.0,30,0.35874999999999996
0.36,24,24,19.1,24.7,0.0,31,0.35875
0.36,24,24,19.1,24.7,0.0,32,0.35875
0.36,24,24,19.1,24.7,0.0,33,0.35874999999999996
0.36,24,24,19.0,24.7,0.0,34,0.35874999999999996
0.35,23,24,19.0,24.7,0.0,35,0.36
0.36,24,24,19.1,24.7,0.0,36,0.36
0.36,24,24,19.0,24.7,0.0,37,0.36
0.36,24,24,18.9,24.7,0.0,38,0.36
0.36,24,24,18.9,24.7,0.0,39,0.36
0.36,23,24,18.9,24.7,0.0,40,0.36
0.36,23,24,18.9,24.7,0.0,41,0.36
0.36,23,24,18.9,24.7,0.0,42,0.36
0.36,24,24,18.9,24.7,0.0,43,0.36
0.36,24,25,18.5,24.7,0.0,44,0.36
0.36,28,28,18.3,24.7,0.0,45,0.36
0.36,34,35,18.2,24.7,0.0,46,0.36
0.36,47,44,18.0,24.7,0.0,47,0.36
0.36,63,52,18.0,24.8,0.0,48,0.36
0.36,82,66,17.9,24.8,0.0,49,0.36
0.36,98,80,17.8,24.8,0.0,50,0.36
0.36,120,95,17.9,24.8,0.0,51,0.36
0.36,140,104,18.0,24.8,0.0,52,0.36
0.36,158,113,18.3,24.8,0.0,53,0.36
0.36,168,118,19.0,24.8,0.0,54,0.36
0.36,177,123,20.4,24.8,0.0,55,0.36
0.36,183,126,21.9,24.8,0.0,56,0.36
0.36,187,133,23.1,24.8,0.0,57,0.36
0.36,189,143,23.8,24.8,0.0,58,0.36
