pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.36,60,94,43.5,23.4,0,0
0.36,72,108,45.8,23.4,0,1
0.36,85,124,48.5,23.4,0,2
0.36,100,137,50.6,23.4,0,3
0.36,112,149,51.7,23.4,0,4
0.36,128,158,51.9,23.4,0,5
0.36,144,164,51.6,23.4,0,6
0.36,162,171,51.0,23.4,0,7
0.36,176,175,50.3,23.3,0,8
0.36,193,178,49.5,23.3,0,9
0.36,212,179,48.6,23.3,0,10
0.36,230,180,47.6,23.3,0,11
0.37,247,183,46.7,23.3,0,12
0.37,261,189,45.8,23.3,0,13
0.37,279,198,45.0,23.3,0,14
0.37,296,207,44.2,23.3,0,15
0.36,312,220,43.2,23.3,0,16
0.37,324,236,42.5,23.3,0,17
0.37,339,247,41.8,23.3,0,18
0.37,353,254,40.9,23.3,0,19
0.37,363,260,40.2,23.3,0,20
0.37,371,263,39.5,23.3,0,21
0.37,376,266,38.8,23.3,0,22
0.37,405,285,38.0,23.3,0,23
0.37,410,295,37.3,23.3,0,24
0.37,420,302,36.6,23.3,0,25
0.37,433,308,35.9,23.3,0,26
0.37,444,317,35.3,23.3,0,27
0.37,460,327,34.8,23.3,0,28
0.37,476,332,34.4,23.3,0,29
0.37,492,340,34.1,23.3,0,30
0.37,504,349,34.0,23.3,0,31
0.37,520,357,33.7,23.4,0,32
0.37,534,364,33.6,23.4,0,33
0.37,540,371,33.4,23.4,0,34
0.37,544,379,33.3,23.4,0,35
0.37,553,388,33.2,23.4,0,36
0.38,565,393,33.1,23.4,0,37
0.37,577,403,33.3,23.5,0,38
0.38,590,410,33.4,23.5,0,39
0.37,600,419,33.6,23.5,0,40
0.37,613,427,33.9,23.5,0,41
0.37,625,433,34.2,23.5,0,42
0.37,637,442,34.4,23.5,0,43
0.38,646,450,34.5,23.5,0,44
0.37,657,459,34.7,23.6,0,45
0.37,668,465,34.7,23.6,0,46
0.38,678,473,34.7,23.6,0,47
0.37,686,481,34.6,23.6,0,48
0.37,696,489,34.6,23.6,0,49
0.38,706,495,34.5,23.7,0,50
0.37,716,504,34.3,23.7,0,51
0.37,723,512,34.2,23.7,0,52
0.38,731,521,34.1,23.7,0,53
0.38,740,527,33.9,23.7,0,54
0.37,749,535,33.8,23.8,0,55
0.38,754,544,33.7,23.8,0,56
0.36,762,552,33.6,23.8,0,57
0.36,770,558,33.5,23.8,0,58
0.36,777,566,33.6,23.9,0,59
0.36,782,575,33.7,23.9,0,60
0.37,789,583,34.0,23.9,0,61
0.36,796,589,34.4,23.9,0,62
0.36,802,597,34.7,23.9,0,63
0.36,803,606,35.0,24.0,0,64
0.36,797,614,35.8,24.0,0,65
0.36,794,620,37.4,24.0,0,66
0.36,798,628,39.4,24.0,0,67
0.36,802,636,41.7,24.0,0,68
0.36,795,654,43.8,24.0,0,69
0.36,798,653,45.9,24.1,0,70
0.36,797,648,47.8,24.1,0,71
0.36,798,650,49.5,24.1,0,72
0.36,801,649,51.1,24.1,0,73
0.36,802,648,52.6,24.1,0,74
0.36,800,649,54.0,24.1,0,75
0.36,797,650,55.4,24.1,0,76
0.36,796,648,58.9,24.1,0,77
0.36,796,649,60.0,24.1,0,78
0.36,798,651,61.6,24.1,0,79
0.36,801,649,63.8,24.1,0,80
0.36,802,648,65.2,24.0,0,81
0.36,795,648,66.5,24.0,0,82
0.36,795,649,67.7,24.1,0,83
0.36,797,651,68.8,24.0,0,84
0.36,799,649,69.8,24.1,0,85
0.36,802,648,70.8,24.1,0,86
0.36,802,651,71.7,24.1,0,87
0.35,800,649,72.5,24.1,0,88
0.36,796,648,73.0,24.2,0,89
0.36,796,650,73.6,24.2,0,90
0.36,797,650,74.1,24.2,0,91
0.36,799,648,74.5,24.2,0,92
0.36,802,649,74.9,24.3,0,93
0.36,802,651,75.4,24.3,0,94
0.35,799,648,75.8,24.3,0,95
0.35,796,648,76.3,24.3,0,96
0.36,795,651,76.6,24.4,0,97
0.36,796,649,76.9,24.4,0,98
0.36,799,648,77.2,24.4,0,99
0.35,801,650,77.5,24.4,0,100
