pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.36,29,26,21.9,26.4,0.0,0
0.36,37,32,21.8,26.5,0.0,1
0.36,52,42,21.7,26.7,0.0,2
0.36,65,54,21.6,26.8,0.0,3
0.36,84,67,21.5,26.9,0.0,4
0.36,107,78,21.6,27.0,0.0,5
0.36,133,93,21.8,27.1,0.0,6
0.36,153,104,22.2,27.2,0.0,7
0.36,172,113,23.0,27.2,0.0,8
0.36,184,119,23.8,27.3,0.0,9
0.36,193,122,24.5,27.3,0.0,10
0.35,198,126,24.9,27.4,0.0,11
0.35,201,133,25.0,27.5,0.0,12
0.35,203,143,25.3,27.5,0.0,13
0.36,210,151,25.5,27.6,0.0,14
0.36,223,162,25.9,27.6,0.0,15
0.36,236,169,26.6,27.7,0.0,16
0.36,257,175,26.4,27.7,0.0,17
0.36,278,180,26.4,27.7,0.0,18
0.36,292,191,26.7,27.6,0.0,19
0.36,298,201,27.1,27.5,0.0,20
0.35,304,208,27.7,27.3,0.0,21
0.36,308,214,28.3,27.1,0.0,22
0.36,317,222,29.0,27.0,0.0,23
0.36,327,230,29.8,26.8,0.0,24
0.35,345,239,30.7,26.7,0.0,25
0.36,365,245,31.5,26.6,0.0,26
0.35,382,253,32.5,26.5,0.0,27
0.35,389,261,33.5,26.4,0.0,28
0.35,393,270,34.6,26.3,0.0,29
0.35,398,275,35.6,26.3,0.0,30
0.36,409,285,36.4,26.2,0.0,31
0.35,420,292,37.3,26.1,0.0,32
0.36,438,301,38.8,26.1,0.0,33
0.35,452,307,40.5,26.1,0.0,34
0.36,472,315,42.2,26.1,0.0,35
0.35,476,324,43.9,26.1,0.0,36
0.36,479,332,45.5,26.1,0.0,37
0.35,490,337,46.8,26.3,0.0,38
0.36,504,347,48.2,26.4,0.0,39
0.35,516,355,49.1,26.5,0.0,40
0.36,533,362,49.8,26.7,0.0,41
0.36,549,372,50.2,26.9,0.0,42
0.36,561,377,50.7,27.0,0.0,43
0.35,596,407,51.4,27.7,0.0,44
0.36,606,415,51.6,27.8,0.0,45
0.36,620,423,51.9,27.9,0.0,46
0.35,633,430,52.2,28.1,0.0,47
0.35,646,438,52.4,28.2,0.0,48
0.36,655,446,52.6,28.3,0.0,49
0.36,667,455,52.8,28.4,0.0,50
0.36,678,460,53.0,28.5,0.0,51
0.36,689,469,53.2,28.6,0.0,52
0.36,699,477,53.3,28.7,0.0,53
0.36,707,485,53.5,28.8,0.0,54
0.36,717,494,53.8,28.8,0.0,55
0.35,726,500,53.9,28.9,0.0,56
0.35,735,509,53.5,28.7,0.0,57
0.35,742,517,53.4,28.3,0.0,58
0.35,750,525,54.3,27.9,0.0,59
0.35,758,531,55.5,27.6,0.0,60
0.36,766,540,56.7,27.4,0.0,61
0.35,771,548,58.0,27.2,0.0,62
0.35,779,556,59.2,27.1,0.0,63
0.35,786,562,60.1,27.1,0.0,64
0.35,793,571,61.0,27.0,0.0,65
0.35,798,579,61.7,27.0,0.0,66
0.35,802,587,62.4,27.0,0.0,67
0.35,795,594,63.0,27.0,0.0,68
0.35,796,602,63.5,26.9,0.0,69
0.35,800,610,64.0,27.0,0.0,70
0.35,800,618,64.4,27.0,0.0,71
0.35,795,625,64.7,27.0,0.0,72
0.35,798,632,65.0,27.1,0.0,73
0.35,802,641,65.3,27.1,0.0,74
0.35,797,649,65.5,27.1,0.0,75
0.35,796,653,65.6,27.2,0.0,76
0.35,799,651,66.0,27.3,0.0,77
0.35,795,649,66.2,27.3,0.0,78
0.36,800,650,66.3,27.4,0.0,79
0.35,802,650,66.6,27.4,0.0,80
0.35,795,650,66.8,27.4,0.0,81
0.36,797,650,67.0,27.5,0.0,82
0.35,803,650,67.2,27.5,0.0,83
0.35,800,650,67.4,27.5,0.0,84
0.35,796,650,67.7,27.5,0.0,85
0.35,801,650,67.9,27.5,0.0,86
0.35,801,650,68.1,27.5,0.0,87
0.36,798,650,69.2,27.6,0.0,88
0.36,796,650,69.5,27.6,0.0,89
0.35,802,650,69.7,27.6,0.0,90
0.35,802,650,70.0,27.6,0.0,91
0.35,795,650,70.2,27.7,0.0,92
0.35,799,650,70.5,27.7,0.0,93
0.36,803,650,70.6,27.7,0.0,94
0.35,799,650,70.9,27.8,0.0,95
0.36,796,650,71.0,27.8,0.0,96
0.35,803,650,71.2,27.8,0.0,97
0.36,800,650,71.4,27.9,0.0,98
0.36,796,650,71.5,27.9,0.0,99
0.35,800,650,71.7,28.0,0.0,100
0.35,803,650,72.0,28.0,0.0,101
0.35,796,650,72.9,28.0,0.0,102
0.35,799,650,73.8,28.1,0.0,103
0.35,803,650,74.5,28.1,0.0,104
0.35,798,650,74.9,28.1,0.0,105
0.35,797,650,75.4,28.2,0.0,106
0.35,804,650,75.9,28.1,0.0,107
0.35,802,650,76.3,28.2,0.0,108
0.35,796,650,76.7,28.3,0.0,109
0.35,801,650,77.0,28.3,0.0,110
0.35,802,650,77.3,28.3,0.0,111
0.35,797,650,77.5,28.4,0.0,112
0.35,798,650,77.7,28.4,0.0,113
0.35,804,650,78.0,28.4,0.0,114
0.35,798,650,78.3,28.4,0.0,115
0.35,796,650,78.6,28.4,0.0,116
0.35,803,650,78.8,28.4,0.0,117
0.35,801,650,79.2,28.4,0.0,118
0.35,796,650,79.4,28.4,0.0,119
0.35,800,650,79.6,28.5,0.0,120
0.35,803,650,79.9,28.5,0.0,121
0.36,797,650,80.1,28.5,0.0,122
0.35,800,650,80.3,28.5,0.0,123
0.35,804,650,80.5,28.6,0.0,124
0.35,798,650,80.6,28.6,0.0,125
0.35,797,650,80.7,28.5,0.0,126
0.35,804,650,80.8,28.5,0.0,127
0.35,801,650,80.9,28.5,0.0,128
0.35,796,650,81.0,28.6,0.0,129
0.35,802,650,81.1,28.5,0.0,130
0.35,802,650,81.2,28.5,0.0,131
0.35,797,650,81.2,28.5,0.0,132
0.35,796,650,82.2,28.4,0.0,133
0.36,802,650,82.4,28.4,0.0,134
0.35,802,650,83.3,28.4,0.0,135
0.36,796,650,83.7,28.3,0.0,136
0.36,799,650,83.9,28.3,0.0,137
0.35,804,650,84.1,28.3,0.0,138
0.35,798,650,84.2,28.3,0.0,139
0.35,798,650,84.3,28.2,0.0,140
0.36,803,650,84.4,28.2,0.0,141
0.36,800,650,84.5,28.2,0.0,142
0.35,797,650,84.7,28.2,0.0,143
0.35,803,650,84.7,28.2,0.0,144
0.35,802,650,84.8,28.2,0.0,145
0.35,796,650,85.3,28.1,0.0,146
0.35,800,650,86.1,28.1,0.0,147
0.35,803,650,86.4,28.1,0.0,148
0.35,797,650,86.5,28.1,0.0,149
0.35,798,650,86.7,28.1,0.0,150
0.35,804,650,86.7,28.1,0.0,151
0.35,799,650,86.8,28.1,0.0,152
0.35,797,650,86.8,28.0,0.0,153
0.35,803,650,86.8,28.0,0.0,154
0.35,801,650,86.9,28.0,0.0,155
0.35,796,650,86.9,28.0,0.0,156
0.35,802,650,87.0,28.0,0.0,157
0.35,803,650,87.0,28.0,0.0,158
0.35,797,650,87.1,28.0,0.0,159
0.35,799,650,87.1,28.0,0.0,160
0.35,803,650,87.1,28.0,0.0,161
0.35,799,650,87.1,27.9,0.0,162
0.35,797,650,87.1,28.0,0.0,163
0.35,804,650,86.9,28.1,0.0,164
0.35,800,650,86.9,28.1,0.0,165
0.35,796,650,86.8,28.1,0.0,166
0.35,801,650,86.9,28.0,0.0,167
0.35,803,650,87.1,27.9,0.0,168
0.35,797,650,87.1,27.9,0.0,169
0.35,798,650,87.1,27.9,0.0,170
0.35,804,650,87.1,27.9,0.0,171
0.35,798,650,87.1,27.9,0.0,172
0.35,797,650,87.3,27.9,0.0,173
0.35,803,650,87.4,27.9,0.0,174
0.35,801,650,87.5,28.0,0.0,175
0.35,796,650,87.5,28.0,0.0,176
0.35,798,650,87.7,28.2,0.0,177
0.35,804,650,87.7,28.3,0.0,178
0.35,801,650,87.7,28.3,0.0,179
0.35,796,650,87.8,28.4,0.0,180
0.35,802,650,87.8,28.4,0.0,181
