pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.36,23,24,41.7,24.4,0.0,0
0.36,23,23,28.4,24.3,0.0,1
0.36,23,23,23.0,24.5,0.0,2
0.36,23,24,20.9,24.6,0.0,3
0.36,23,23,20.0,24.6,0.0,4
0.36,23,23,19.6,24.6,0.0,5
0.36,23,23,19.4,24.6,0.0,6
0.36,23,23,19.2,24.6,0.0,7
0.36,23,23,19.2,24.6,0.0,8
0.36,23,23,19.2,24.6,0.0,9
0.36,23,23,19.2,24.6,0.0,10
0.36,23,23,19.2,24.6,0.0,11
0.36,23,23,19.2,24.6,0.0,12
0.36,23,24,19.2,24.6,0.0,13
0.36,23,24,19.3,24.6,0.0,14
0.36,23,24,19.3,24.6,0.0,15
0.36,23,24,19.2,24.6,0.0,16
0.36,24,24,19.3,24.6,0.0,17
0.36,23,24,19.3,24.6,0.0,18
0.36,23,24,19.3,24.6,0.0,19
0.36,23,24,19.3,24.6,0.0,20
0.36,23,24,19.3,24.6,0.0,21
0.36,23,24,19.3,24.6,0.0,22
0.36,23,24,19.2,24.6,0.0,23
0.36,23,24,19.3,24.5,0.0,24
0.36,23,24,19.3,24.6,0.0,25
0.36,24,24,19.3,24.6,0.0,26
0.36,24,24,19.3,24.7,0.0,27
0.36,24,24,19.2,24.7,0.0,28
0.36,23,24,19.1,24.7,0.0,29
0.36,23,23,19.1,24.7,0.0,30
0.36,24,24,19.1,24.7,0.0,31
0.36,24,24,19.1,24.7,0.0,32
0.36,24,24,19.1,24.7,0.0,33
0.36,24,24,19.0,24.7,0.0,34
0.35,23,24,19.0,24.7,0.0,35
0.36,24,24,19.1,24.7,0.0,36
0.36,24,24,19.0,24.7,0.0,37
0.36,24,24,18.9,24.7,0.0,38
0.36,24,24,18.9,24.7,0.0,39
0.36,23,24,18.9,24.7,0.0,40
0.36,23,24,18.9,24.7,0.0,41
0.36,23,24,18.9,24.7,0.0,42
0.36,24,24,18.9,24.7,0.0,43
0.36,24,25,18.5,24.7,0.0,44
0.36,28,28,18.3,24.7,0.0,45
0.36,34,35,18.2,24.7,0.0,46
0.36,47,44,18.0,24.7,0.0,47
0.36,63,52,18.0,24.8,0.0,48
0.36,82,66,17.9,24.8,0.0,49
0.36,98,80,17.8,24.8,0.0,50
0.36,120,95,17.9,24.8,0.0,51
0.36,140,104,18.0,24.8,0.0,52
0.36,158,113,18.3,24.8,0.0,53
0.36,168,118,19.0,24.8,0.0,54
0.36,177,123,20.4,24.8,0.0,55
0.36,183,126,21.9,24.8,0.0,56
0.36,187,133,23.1,24.8,0.0,57
0.36,189,143,23.8,24.8,0.0,58
0.36,196,156,23.9,24.7,0.0,59
0.36,208,163,23.9,24.8,0.0,60
0.36,224,170,23.7,24.7,0.0,61
0.36,238,175,23.6,24.7,0.0,62
0.36,259,183,23.6,24.7,0.0,63
0.36,278,191,23.5,24.7,0.0,64
0.36,289,202,23.5,24.8,0.0,65
0.36,294,208,23.5,24.8,0.0,66
0.36,298,214,23.2,24.8,0.0,67
0.36,299,220,22.9,24.8,0.0,68
0.36,298,231,22.7,24.7,0.0,69
0.36,298,240,22.4,24.8,0.0,70
0.36,296,246,22.2,24.8,0.0,71
0.36,295,251,21.9,24.8,0.0,72
0.36,294,262,21.8,24.8,0.0,73
0.36,292,272,21.6,24.8,0.0,74
0.36,291,278,21.4,24.8,0.0,75
0.36,287,298,21.0,24.7,0.0,76
0.36,285,308,20.9,24.7,0.0,77
0.36,283,312,20.8,24.7,0.0,78
0.36,281,321,20.7,24.7,0.0,79
0.36,280,331,20.5,24.7,0.0,80
0.36,278,338,20.4,24.7,0.0,81
0.36,276,344,20.3,24.7,0.0,82
0.36,274,353,20.1,24.7,0.0,83
0.36,273,361,20.1,24.7,0.0,84
0.36,271,369,19.9,24.7,0.0,85
0.36,271,376,19.8,24.7,0.0,86
0.36,275,384,19.7,24.7,0.0,87
0.36,281,391,19.6,24.7,0.0,88
0.36,293,400,19.5,24.6,0.0,89
0.36,309,408,19.4,24.6,0.0,90
0.36,326,414,19.3,24.6,0.0,91
0.36,340,423,19.4,24.6,0.0,92
0.36,359,433,19.4,24.5,0.0,93
0.36,378,437,19.5,24.5,0.0,94
0.36,397,445,19.9,24.5,0.0,95
0.36,408,455,20.6,24.5,0.0,96
0.36,416,463,21.6,24.4,0.0,97
0.36,418,469,22.8,24.4,0.0,98
0.36,424,477,23.7,24.4,0.0,99
0.36,432,486,24.3,24.4,0.0,100
0.36,446,493,24.7,24.3,0.0,101
0.36,462,500,25.0,24.3,0.0,102
0.36,478,506,25.3,24.3,0.0,103
0.36,490,517,25.8,24.3,0.0,104
0.36,507,525,26.6,24.3,0.0,105
0.36,522,531,27.3,24.2,0.0,106
0.36,530,540,27.9,24.3,0.0,107
0.36,532,548,28.4,24.3,0.0,108
0.36,540,556,28.6,24.2,0.0,109
0.36,552,565,28.6,24.2,0.0,110
0.36,565,571,28.6,24.3,0.0,111
0.36,578,579,28.6,24.3,0.0,112
0.36,588,586,28.7,24.3,0.0,113
0.36,601,595,29.0,24.3,0.0,114
0.36,613,602,29.2,24.3,0.0,115
0.36,625,610,29.6,24.3,0.0,116
0.36,634,618,29.9,24.3,0.0,117
0.36,645,627,30.2,24.3,0.0,118
0.36,656,633,30.5,24.4,0.0,119
0.36,666,641,30.8,24.4,0.0,120
0.36,691,654,31.4,24.4,0.0,121
0.36,701,651,31.6,24.5,0.0,122
0.36,708,649,31.7,24.5,0.0,123
0.36,717,650,31.9,24.5,0.0,124
0.36,725,650,32.0,24.5,0.0,125
0.37,733,650,32.1,24.5,0.0,126
0.37,739,650,32.3,24.6,0.0,127
0.37,747,650,32.3,24.6,0.0,128
0.36,754,650,32.3,24.7,0.0,129
0.36,762,650,32.4,24.7,0.0,130
0.36,767,650,32.4,24.7,0.0,131
0.36,773,651,32.4,24.7,0.0,132
0.36,780,650,32.5,24.7,0.0,133
0.36,786,650,32.4,24.7,0.0,134
0.36,791,650,32.3,24.8,0.0,135
0.36,797,650,32.3,24.8,0.0,136
0.37,802,649,32.3,24.8,0.0,137
0.37,799,650,32.3,24.8,0.0,138
0.37,794,650,32.3,24.8,0.0,139
0.37,796,650,36.3,24.9,0.0,140
0.38,801,650,36.4,24.9,0.0,141
0.37,800,650,36.1,24.9,0.0,142
0.38,795,650,35.9,24.9,0.0,143
0.38,796,650,35.7,24.9,0.0,144
0.38,801,650,35.6,25.0,0.0,145
0.38,801,650,35.6,25.0,0.0,146
0.38,795,650,35.5,25.0,0.0,147
0.4,795,650,43.8,25.1,0.0,148
0.4,801,650,43.3,25.1,0.0,149
0.4,802,649,46.9,25.2,0.0,150
0.4,795,650,51.4,25.2,0.0,151
0.4,795,649,54.9,25.3,0.0,152
0.41,800,650,57.2,25.3,0.0,153
0.41,802,649,59.0,25.3,0.0,154
0.41,796,650,60.2,25.3,0.0,155
0.41,795,649,61.3,25.4,0.0,156
0.42,800,651,62.2,25.4,0.0,157
0.41,803,649,63.0,25.4,0.0,158
0.41,797,650,63.6,25.4,0.0,159
0.42,795,650,64.3,25.4,0.0,160
0.42,799,650,64.8,25.4,0.0,161
0.42,803,650,65.2,25.4,0.0,162
0.42,797,650,65.6,25.4,0.0,163
0.42,796,650,66.0,25.4,0.0,164
0.42,799,650,66.5,25.4,0.0,165
0.42,795,650,67.5,25.4,0.0,166
0.42,798,650,69.1,25.4,0.0,167
0.42,803,650,70.4,25.5,0.0,168
0.42,800,650,71.3,25.4,0.0,169
0.42,795,650,72.1,25.4,0.0,170
0.41,797,649,72.6,25.5,0.0,171
0.42,803,650,72.9,25.5,0.0,172
0.42,800,650,73.2,25.5,0.0,173
0.42,795,650,73.3,25.5,0.0,174
0.42,797,650,73.4,25.5,0.0,175
0.42,803,649,73.6,25.5,0.0,176
0.42,801,650,73.6,25.5,0.0,177
0.42,795,650,73.7,25.6,0.0,178
0.42,797,650,72.4,25.5,0.0,179
0.42,803,650,72.3,25.4,0.0,180
0.43,801,650,73.2,25.4,0.0,181
0.43,795,650,74.1,25.4,0.0,182
0.43,797,650,74.9,25.3,0.0,183
0.44,803,650,75.5,25.3,0.0,184
0.44,801,650,76.0,25.3,0.0,185
0.43,796,650,76.5,25.3,0.0,186
0.44,797,650,76.7,25.3,0.0,187
0.44,803,650,77.0,25.3,0.0,188
0.44,801,650,77.1,25.3,0.0,189
0.44,796,650,77.2,25.4,0.0,190
0.44,798,650,77.3,25.4,0.0,191
0.44,803,650,77.4,25.4,0.0,192
0.44,801,650,77.5,25.5,0.0,193
0.44,796,650,77.7,25.5,0.0,194
0.44,799,650,77.8,25.5,0.0,195
0.43,803,649,77.9,25.5,0.0,196
0.44,801,651,78.1,25.5,0.0,197
0.43,796,649,78.2,25.5,0.0,198
0.44,799,651,78.3,25.5,0.0,199
0.44,803,650,78.3,25.6,0.0,200
0.44,801,650,78.4,25.6,0.0,201
