id_reforma,sdv002,sdc002,mdv001_1,mdv001_2,mdv001_3,mdv001_4,sdp002,sdt002,sdt003,sdu001_1,sdu001_2,data_hora_reforma,TipoAlarmeReleResistencia_id_tipo,TipoAlarmeResistencia_id_tipo,id_reacao,sdu002_1,sdu002_2,rotulo
31290,560.56,16.65,0.975,2.3,2.5,25.81,0.45,555,383,0.0,0.0,2024-01-23 09:11:48.268,1,1,181,86.7,27.6,0.0
31291,344.85,15.37,0.975,2.4,2.4,25.8,0.45,551,405,0.0,0.0,2024-01-23 09:12:14.264,1,1,181,85.8,27.5,0.0
31292,271.84,15.28,0.975,2.3,2.5,25.79,0.45,561,412,0.0,0.0,2024-01-23 09:12:31.644,1,1,181,85.4,27.7,0.0
31293,229.19,15.25,0.975,2.3,2.5,25.78,0.45,575,419,0.0,0.0,2024-01-23 09:12:54.376,1,1,181,85.0,27.8,0.0
31294,222.45,15.27,0.975,2.3,2.5,25.78,0.45,589,430,0.0,0.0,2024-01-23 09:13:17.108,1,1,181,84.7,27.8,0.0
31295,226.26,6.68,0.975,2.3,2.5,25.78,0.45,600,442,0.0,0.0,2024-01-23 09:13:39.827,1,1,181,84.6,27.7,0.0
31296,219.84,15.31,0.975,2.3,2.5,25.77,0.45,614,450,0.0,0.0,2024-01-23 09:14:02.504,1,1,181,84.8,27.7,0.0
31297,219.52,15.24,0.975,2.3,2.5,25.77,0.45,627,455,0.0,0.0,2024-01-23 09:14:25.272,1,1,181,84.6,27.8,0.0
31298,222.0,6.69,0.975,2.3,2.5,25.76,0.45,640,464,0.0,0.0,2024-01-23 09:14:47.977,1,1,181,84.5,27.8,0.0
31299,219.28,15.25,0.975,2.3,2.5,25.76,0.45,650,472,0.0,0.0,2024-01-23 09:15:10.665,1,1,181,84.3,27.9,0.0
31300,219.9,10.03,0.975,2.3,2.5,25.76,0.45,662,481,0.0,0.0,2024-01-23 09:15:33.399,1,1,181,84.1,28.0,0.0
31301,227.47,15.28,0.975,2.3,2.5,25.76,0.45,674,487,0.0,0.0,2024-01-23 09:15:56.089,1,1,181,83.8,28.1,0.0
31302,228.04,15.3,0.975,2.3,2.5,25.76,0.45,685,495,0.0,0.0,2024-01-23 09:16:18.779,1,1,181,83.6,28.1,0.0
31303,224.46,15.26,0.975,2.4,2.5,25.76,0.45,694,503,0.0,0.0,2024-01-23 09:16:41.496,1,1,181,83.5,28.1,0.0
31304,227.42,15.28,0.975,2.4,2.5,25.76,0.45,705,512,0.0,0.0,2024-01-23 09:17:04.174,1,1,181,83.5,28.1,0.0
31305,221.0,15.23,0.975,2.3,2.5,25.75,0.45,715,517,0.0,0.0,2024-01-23 09:17:27.353,1,1,181,83.4,28.1,0.0
31306,223.55,15.19,0.975,2.4,2.5,25.75,0.45,725,526,0.0,0.0,2024-01-23 09:17:49.589,1,1,181,83.3,28.1,0.0
31307,220.01,15.21,0.975,2.4,2.6,25.75,0.44,733,535,0.0,0.0,2024-01-23 09:18:12.316,1,1,181,83.2,28.1,0.0
31308,217.44,15.19,0.975,2.4,2.5,25.75,0.44,742,543,0.0,0.0,2024-01-23 09:18:35.009,1,1,181,83.4,28.0,0.0
31309,223.01,15.21,0.975,2.4,2.5,25.75,0.44,752,549,0.0,0.0,2024-01-23 09:18:57.758,1,1,181,83.6,27.9,0.0
31310,221.93,15.23,0.975,2.3,2.5,25.75,0.44,760,558,0.0,0.0,2024-01-23 09:19:20.428,1,1,181,84.0,27.8,0.0
31311,230.9,8.23,0.975,2.4,2.5,25.75,0.44,767,566,0.0,0.0,2024-01-23 09:19:43.094,1,1,181,84.2,27.8,0.0
31312,224.53,15.19,0.975,2.4,2.5,25.75,0.45,775,574,0.0,0.0,2024-01-23 09:20:05.833,1,1,181,84.0,27.9,0.0
31313,222.77,15.21,0.975,2.4,2.5,25.75,0.44,783,581,0.0,0.0,2024-01-23 09:20:28.563,1,1,181,83.7,28.0,0.0
31314,223.05,6.64,0.975,2.3,2.5,25.75,0.45,791,589,0.0,0.0,2024-01-23 09:20:51.287,1,1,181,83.8,27.9,0.0
31315,220.9,15.19,0.975,2.4,2.5,25.75,0.44,796,596,0.0,0.0,2024-01-23 09:21:13.976,1,1,181,84.0,27.9,0.0
31316,221.46,8.75,0.975,2.1,2.5,25.76,0.44,803,604,0.0,0.0,2024-01-23 09:21:36.699,1,1,181,83.7,28.0,0.0
31317,222.2,15.19,0.975,1.9,2.0,25.76,0.44,797,608,0.0,0.0,2024-01-23 09:21:59.423,1,1,181,83.9,27.9,0.0
31318,219.25,6.67,0.975,1.9,2.0,25.76,0.45,796,620,0.0,0.0,2024-01-23 09:22:22.165,1,1,181,83.7,28.0,0.0
31319,221.43,8.74,0.975,1.8,2.0,25.76,0.44,800,628,0.0,0.0,2024-01-23 09:22:44.920,1,1,181,83.5,28.1,0.0
31320,218.88,8.76,0.975,1.8,1.9,25.76,0.44,801,636,0.0,0.0,2024-01-23 09:23:07.662,1,1,181,83.4,28.1,0.0
31321,232.59,15.14,0.975,0.6,1.9,25.77,0.44,795,642,0.0,0.0,2024-01-23 09:23:30.340,1,1,181,83.7,28.2,0.0
31322,221.2,6.63,0.975,0.0,0.1,25.77,0.44,800,651,0.0,0.0,2024-01-23 09:23:53.070,1,1,181,84.4,28.2,0.0
31323,221.11,0.48,0.975,0.0,0.0,25.77,0.44,802,653,0.0,0.0,2024-01-23 09:24:15.745,1,1,181,84.7,28.3,0.0
31324,221.77,6.63,0.975,0.0,0.0,25.78,0.44,796,652,0.0,0.0,2024-01-23 09:24:38.496,1,1,181,84.8,28.3,0.0
