id_reforma,sdv002,sdc002,mdv001_1,mdv001_2,mdv001_3,mdv001_4,sdp002,sdt002,sdt003,sdu001_1,sdu001_2,data_hora_reforma,TipoAlarmeReleResistencia_id_tipo,TipoAlarmeResistencia_id_tipo,id_reacao,sdu002_1,sdu002_2,rotulo
38093,551.44,16.71,0.974,0.1,0.1,17.18,0.36,29,26,0.0,0,2024-03-14 07:54:44.475,1,1,190,21.9,26.4,0.0
38094,328.78,15.47,0.974,0.1,0.1,17.21,0.36,37,32,0.0,0,2024-03-14 07:55:04.934,1,1,190,21.8,26.5,0.0
38095,262.05,15.37,0.974,0.1,0.1,17.23,0.36,52,42,0.0,0,2024-03-14 07:55:27.670,1,1,190,21.7,26.7,0.0
38096,228.47,15.34,0.974,0.1,0.1,17.25,0.36,65,54,0.0,0,2024-03-14 07:55:50.479,1,1,190,21.6,26.8,0.0
38097,223.9,15.35,0.974,0.1,0.1,17.28,0.36,84,67,0.0,0,2024-03-14 07:56:13.251,1,1,190,21.5,26.9,0.0
38098,219.29,15.32,0.974,0.2,0.1,17.3,0.36,107,78,0.0,0,2024-03-14 07:56:35.960,1,1,190,21.6,27.0,0.0
38099,222.92,0.4,0.974,0.1,0.1,17.32,0.36,133,93,0.0,0,2024-03-14 07:56:58.679,1,1,190,21.8,27.1,0.0
38100,222.91,0.34,0.974,0.1,0.1,17.34,0.36,153,104,0.0,0,2024-03-14 07:57:21.476,1,1,190,22.2,27.2,0.0
38101,223.74,0.31,0.974,0.1,0.1,17.36,0.36,172,113,0.0,0,2024-03-14 07:57:44.246,1,1,190,23.0,27.2,0.0
38102,220.32,0.3,0.974,0.1,0.1,17.38,0.36,184,119,0.0,0,2024-03-14 07:58:07.026,1,1,190,23.8,27.3,0.0
38103,221.96,0.32,0.974,0.1,0.1,17.4,0.36,193,122,0.0,0,2024-03-14 07:58:29.779,1,1,190,24.5,27.3,0.0
38104,224.77,8.88,0.974,0.1,0.1,17.43,0.35,198,126,0.0,0,2024-03-14 07:58:52.448,1,1,190,24.9,27.4,0.0
38105,217.81,8.86,0.974,0.1,0.1,17.46,0.35,201,133,0.0,0,2024-03-14 07:59:15.246,1,1,190,25.0,27.5,0.0
