pressure,reactor temperature,pre-reactor temperature,humidity,local temperature,label,number data,SMA pressure forecast
0.41,21,20,65.5,34.9,0.0,0,0.0
0.39,21,20,53.7,34.7,0.0,1,0.0
0.38,21,20,53.8,33.7,0.0,2,0.0
0.37,21,20,54.4,31.6,0.0,3,0.0
0.37,21,20,56.8,30.2,0.0,4,0.0
0.37,20,20,58.0,29.4,0.0,5,0.0
0.37,21,20,58.2,29.4,0.0,6,0.0
0.37,21,20,58.3,29.1,0.0,7,0.37
0.37,21,20,58.3,28.9,0.0,8,0.37
0.37,21,20,58.4,28.8,0.0,9,0.37
0.37,21,20,58.2,29.1,0.0,10,0.36875
0.37,20,20,57.9,29.3,0.0,11,0.36875
0.37,20,20,57.9,28.8,0.0,12,0.36874999999999997
0.37,21,20,58.3,28.8,0.0,13,0.36875
0.37,20,20,58.5,28.8,0.0,14,0.36875
0.37,21,20,58.3,28.9,0.0,15,0.36875
0.37,21,20,58.3,28.9,0.0,16,0.36874999999999997
0.37,21,20,58.6,28.5,0.0,17,0.36875
0.36,21,20,59.7,28.1,0.0,18,0.37
0.37,21,20,60.4,27.9,0.0,19,0.37
0.37,20,20,60.7,28.0,0.0,20,0.37
0.37,21,20,60.8,27.8,0.0,21,0.37
0.37,21,20,61.2,27.6,0.0,22,0.37
0.37,21,20,61.5,27.4,0.0,23,0.37
0.37,21,20,61.8,27.4,0.0,24,0.37
0.37,21,20,61.6,27.5,0.0,25,0.37
0.37,21,20,61.4,27.5,0.0,26,0.37
0.37,21,20,61.2,27.6,0.0,27,0.37
0.37,21,20,61.1,27.6,0.0,28,0.37
0.37,20,20,61.0,27.6,0.0,29,0.37
0.37,21,20,61.0,27.6,0.0,30,0.37
0.37,21,20,60.8,27.6,0.0,31,0.37
0.37,21,20,60.9,27.5,0.0,32,0.37
0.37,21,20,61.0,27.3,0.0,33,0.37
0.37,21,20,61.1,27.3,0.0,34,0.37
0.37,21,20,61.2,27.3,0.0,35,0.37
0.37,21,20,61.1,27.2,0.0,36,0.37
0.37,21,20,60.9,27.4,0.0,37,0.37
0.37,21,20,60.5,27.5,0.0,38,0.37
0.37,21,20,60.2,27.5,0.0,39,0.37
0.37,21,20,60.0,27.6,0.0,40,0.37
0.37,21,20,60.0,27.2,0.0,41,0.37
0.37,21,20,60.3,27.0,0.0,42,0.37
0.37,21,20,60.4,26.9,0.0,43,0.37
0.37,21,20,60.2,26.7,0.0,44,0.37
0.37,21,20,60.3,26.7,0.0,45,0.37
0.37,21,20,60.4,26.6,0.0,46,0.37
0.37,21,20,60.4,26.6,0.0,47,0.37
0.37,21,20,60.3,26.5,0.0,48,0.37
0.37,21,20,60.3,26.5,0.0,49,0.37
0.37,20,20,60.3,26.5,0.0,50,0.37
0.37,20,20,60.3,26.5,0.0,51,0.37
0.37,20,20,60.2,26.5,0.0,52,0.37
0.37,20,20,60.2,26.5,0.0,53,0.37
0.37,20,20,60.3,26.4,0.0,54,0.37
0.37,20,20,60.3,26.4,0.0,55,0.37
0.37,20,20,60.3,26.4,0.0,56,0.36875
0.37,20,20,60.2,26.4,0.0,57,0.3675
0.37,21,20,60.1,26.4,0.0,58,0.36624999999999996
0.37,21,20,60.0,26.4,0.0,59,0.36624999999999996
0.37,21,21,60.1,26.4,0.0,60,0.365
0.37,24,25,60.0,26.4,0.0,61,0.365
0.37,31,30,60.0,26.4,0.0,62,0.365
0.37,44,36,59.8,26.4,0.0,63,0.365
0.36,60,45,59.8,26.4,0.0,64,0.36624999999999996
0.36,76,57,59.8,26.4,0.0,65,0.3675
0.36,98,71,59.8,26.3,0.0,66,0.36875
0.37,124,81,59.9,26.4,0.0,67,0.36875
0.36,148,96,60.1,26.4,0.0,68,0.36875
0.37,162,108,60.4,26.4,0.0,69,0.3675
0.37,173,116,60.8,26.4,0.0,70,0.36624999999999996
0.37,181,121,61.4,26.4,0.0,71,0.365
0.37,186,127,61.6,26.4,0.0,72,0.36375
0.37,189,130,61.8,26.4,0.0,73,0.3625
0.37,192,136,61.8,26.5,0.0,74,0.36124999999999996
0.37,199,143,61.7,26.5,0.0,75,0.36
0.36,212,154,66.2,26.6,0.0,76,0.36
0.36,226,165,72.5,26.7,0.0,77,0.36124999999999996
0.36,248,173,73.9,26.7,0.0,78,0.36125
