id_reforma,sdv002,sdc002,mdv001_1,mdv001_2,mdv001_3,mdv001_4,sdp002,sdt002,sdt003,sdu001_1,sdu001_2,data_hora_reforma,TipoAlarmeReleResistencia_id_tipo,TipoAlarmeResistencia_id_tipo,id_reacao,sdu002_1,sdu002_2,rotulo
64341,269.4,15.86,-1,-1,-1,-1,0.4,23,23,0,0,2024-05-10 07:07:40.311,1,1,200,99.0,25.1,0.0
64342,230.15,15.59,-1,-1,-1,-1,0.39,23,23,0,0,2024-05-10 07:08:03.072,1,1,200,98.8,25.4,0.0
64343,224.62,15.51,-1,-1,-1,-1,0.39,23,27,0,0,2024-05-10 07:08:25.838,1,1,200,98.9,25.1,0.0
64344,228.65,15.49,-1,-1,-1,-1,0.39,24,32,0,0,2024-05-10 07:08:48.504,1,1,200,98.7,25.4,0.0
64345,222.71,15.46,-1,-1,-1,-1,0.39,27,38,0,0,2024-05-10 07:09:11.296,1,1,200,98.7,25.2,0.0
64346,221.42,15.44,-1,-1,-1,-1,0.39,31,48,0,0,2024-05-10 07:09:34.093,1,1,200,98.7,25.4,0.0
64347,225.24,15.38,-1,-1,-1,-1,0.39,37,60,0,0,2024-05-10 07:09:56.780,1,1,200,98.5,25.6,0.0
64348,225.38,15.39,-1,-1,-1,-1,0.39,43,74,0,0,2024-05-10 07:10:19.487,1,1,200,98.5,25.5,0.0
64349,226.37,6.63,-1,-1,-1,-1,0.4,51,89,0,0,2024-05-10 07:10:42.204,1,1,200,98.4,25.6,0.0
64350,233.85,6.63,-1,-1,-1,-1,0.39,62,100,0,0,2024-05-10 07:11:04.876,1,1,200,98.3,25.6,0.0
64351,224.38,6.63,-1,-1,-1,-1,0.39,73,111,0,0,2024-05-10 07:11:27.617,1,1,200,98.2,25.5,0.0
64352,226.99,6.63,-1,-1,-1,-1,0.39,83,118,0,0,2024-05-10 07:11:50.288,1,1,200,98.2,25.4,0.0
