id_reforma,sdv002,sdc002,mdv001_1,mdv001_2,mdv001_3,mdv001_4,sdp002,sdt002,sdt003,sdu001_1,sdu001_2,data_hora_reforma,TipoAlarmeReleResistencia_id_tipo,TipoAlarmeResistencia_id_tipo,id_reacao,sdu002_1,sdu002_2,rotulo
84652,219.49,10.71,-1,-1,-1,-1,0.36,60,94,-1,-1,2024-10-11 06:30:31.248,1,1,214,43.5,23.4,0
84653,220.42,6.44,-1,-1,-1,-1,0.36,72,108,-1,-1,2024-10-11 06:30:54.134,1,1,214,45.8,23.4,0
84654,225.32,6.43,-1,-1,-1,-1,0.36,85,124,-1,-1,2024-10-11 06:31:16.940,1,1,214,48.5,23.4,0
84655,219.85,6.45,-1,-1,-1,-1,0.36,100,137,-1,-1,2024-10-11 06:31:39.821,1,1,214,50.6,23.4,0
84656,222.27,6.45,-1,-1,-1,-1,0.36,112,149,-1,-1,2024-10-11 06:32:02.680,1,1,214,51.7,23.4,0
84657,219.62,6.45,-1,-1,-1,-1,0.36,128,158,-1,-1,2024-10-11 06:32:25.550,1,1,214,51.9,23.4,0
84658,223.09,6.45,-1,-1,-1,-1,0.36,144,164,-1,-1,2024-10-11 06:32:48.361,1,1,214,51.6,23.4,0
84659,221.16,6.47,-1,-1,-1,-1,0.36,162,171,-1,-1,2024-10-11 06:33:11.242,1,1,214,51.0,23.4,0
84660,220.68,6.47,-1,-1,-1,-1,0.36,176,175,-1,-1,2024-10-11 06:33:34.120,1,1,214,50.3,23.3,0
84661,217.47,6.48,-1,-1,-1,-1,0.36,193,178,-1,-1,2024-10-11 06:33:56.994,1,1,214,49.5,23.3,0
84662,220.79,6.48,-1,-1,-1,-1,0.36,212,179,-1,-1,2024-10-11 06:34:19.882,1,1,214,48.6,23.3,0
84663,217.12,10.75,-1,-1,-1,-1,0.36,230,180,-1,-1,2024-10-11 06:34:42.742,1,1,214,47.6,23.3,0
84664,219.14,10.78,-1,-1,-1,-1,0.37,247,183,-1,-1,2024-10-11 06:35:05.584,1,1,214,46.7,23.3,0
84665,219.6,10.73,-1,-1,-1,-1,0.37,261,189,-1,-1,2024-10-11 06:35:28.476,1,1,214,45.8,23.3,0
84666,220.24,10.71,-1,-1,-1,-1,0.37,279,198,-1,-1,2024-10-11 06:35:51.369,1,1,214,45.0,23.3,0
84667,224.06,10.72,-1,-1,-1,-1,0.37,296,207,-1,-1,2024-10-11 06:36:14.176,1,1,214,44.2,23.3,0
84668,221.14,10.76,-1,-1,-1,-1,0.36,312,220,-1,-1,2024-10-11 06:36:37.049,1,1,214,43.2,23.3,0
84669,221.29,6.5,-1,-1,-1,-1,0.37,324,236,-1,-1,2024-10-11 06:36:59.863,1,1,214,42.5,23.3,0
84670,222.98,0.37,-1,-1,-1,-1,0.37,339,247,-1,-1,2024-10-11 06:37:22.676,1,1,214,41.8,23.3,0
84671,225.13,0.36,-1,-1,-1,-1,0.37,353,254,-1,-1,2024-10-11 06:37:45.563,1,1,214,40.9,23.3,0
84672,226.33,0.39,-1,-1,-1,-1,0.37,363,260,-1,-1,2024-10-11 06:38:08.354,1,1,214,40.2,23.3,0
84673,216.46,6.5,-1,-1,-1,-1,0.37,371,263,-1,-1,2024-10-11 06:38:31.197,1,1,214,39.5,23.3,0
84674,222.54,10.75,-1,-1,-1,-1,0.37,376,266,-1,-1,2024-10-11 06:38:54.074,1,1,214,38.8,23.3,0
84675,220.43,10.74,-1,-1,-1,-1,0.37,405,285,-1,-1,2024-10-11 06:39:16.912,1,1,214,38.0,23.3,0
84676,219.96,10.75,-1,-1,-1,-1,0.37,410,295,-1,-1,2024-10-11 06:39:39.739,1,1,214,37.3,23.3,0
84677,225.04,10.75,-1,-1,-1,-1,0.37,420,302,-1,-1,2024-10-11 06:40:02.578,1,1,214,36.6,23.3,0
84678,224.2,10.73,-1,-1,-1,-1,0.37,433,308,-1,-1,2024-10-11 06:40:25.333,1,1,214,35.9,23.3,0
84679,220.16,6.5,-1,-1,-1,-1,0.37,444,317,-1,-1,2024-10-11 06:40:48.225,1,1,214,35.3,23.3,0
84680,220.77,6.5,-1,-1,-1,-1,0.37,460,327,-1,-1,2024-10-11 06:41:11.105,1,1,214,34.8,23.3,0
84681,220.86,6.48,-1,-1,-1,-1,0.37,476,332,-1,-1,2024-10-11 06:41:33.938,1,1,214,34.4,23.3,0
84682,219.0,10.74,-1,-1,-1,-1,0.37,492,340,-1,-1,2024-10-11 06:41:56.811,1,1,214,34.1,23.3,0
84683,218.44,10.71,-1,-1,-1,-1,0.37,504,349,-1,-1,2024-10-11 06:42:19.716,1,1,214,34.0,23.3,0
84684,817.54,29.72,-1,-1,-1,-1,0.37,520,357,-1,-1,2024-10-11 06:43:21.363,1,1,214,33.7,23.4,0
