pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.37,797,650,77.4,23.9,0.0,143
0.37,802,650,77.6,23.9,0.0,144
0.37,803,650,77.6,23.9,0.0,145
0.38,798,650,77.8,23.9,0.0,146
0.37,796,650,77.9,23.9,0.0,147
0.37,800,650,78.0,23.8,0.0,148
0.37,803,650,78.1,23.8,0.0,149
0.38,802,650,78.2,23.8,0.0,150
0.38,796,650,78.3,23.8,0.0,151
0.37,796,650,78.4,23.8,0.0,152
0.37,799,650,78.6,23.8,0.0,153
0.38,804,650,78.7,23.8,0.0,154
0.38,801,650,78.9,23.8,0.0,155
0.38,796,650,79.0,23.8,0.0,156
0.38,796,649,79.1,23.9,0.0,157
0.37,801,650,79.3,23.9,0.0,158
0.38,804,650,79.4,23.9,0.0,159
0.38,800,650,79.5,23.9,0.0,160
0.38,796,650,79.6,23.9,0.0,161
0.38,796,650,79.8,24.0,0.0,162
0.38,802,650,80.1,24.1,0.0,163
0.38,797,650,80.2,24.1,0.0,164
0.38,796,650,80.2,24.1,0.0,165
0.38,802,650,80.3,24.1,0.0,166
0.38,804,650,80.4,24.2,0.0,167
0.38,801,650,80.5,24.2,0.0,168
0.37,796,650,80.5,24.2,0.0,169
0.38,797,650,82.2,24.3,0.0,170
0.38,800,650,85.1,24.3,0.0,171
0.37,804,650,85.8,24.3,0.0,172
0.38,800,650,86.3,24.3,0.0,173
0.38,796,650,86.6,24.4,0.0,174
0.37,797,650,86.9,24.4,0.0,175
0.37,802,650,87.1,24.4,0.0,176
0.38,803,650,87.3,24.4,0.0,177
0.37,799,650,87.5,24.5,0.0,178
0.38,796,650,87.7,24.5,0.0,179
0.38,797,650,87.9,24.6,0.0,180
0.38,803,650,88.0,24.6,0.0,181
0.37,803,650,88.2,24.6,0.0,182
0.37,799,650,88.4,24.6,0.0,183
0.38,796,650,88.6,24.7,0.0,184
0.38,799,650,88.7,24.7,0.0,185
0.38,804,650,88.8,24.7,0.0,186
0.37,803,650,88.9,24.8,0.0,187
0.38,798,650,89.1,24.8,0.0,188
0.38,796,650,89.1,24.9,0.0,189
0.38,800,650,89.5,24.9,0.0,190
0.37,804,650,89.7,24.9,0.0,191
0.38,802,650,89.9,24.9,0.0,192
0.38,797,650,90.0,24.9,0.0,193
0.38,796,650,90.1,25.0,0.0,194
0.38,801,650,90.2,25.0,0.0,195
0.38,804,650,90.2,25.0,0.0,196
0.38,801,649,90.3,25.0,0.0,197
0.38,796,650,90.4,24.9,0.0,198
0.37,796,649,90.4,24.9,0.0,199
0.37,801,650,90.5,24.9,0.0,200
0.38,804,650,90.6,24.9,0.0,201
0.38,800,650,90.7,24.9,0.0,202
0.38,796,650,90.8,24.9,0.0,203
0.38,797,650,90.8,24.9,0.0,204
0.38,802,650,90.9,24.9,0.0,205
0.38,804,650,90.9,24.9,0.0,206
0.37,800,650,91.0,24.9,0.0,207
0.38,801,650,91.1,24.8,0.0,208
0.38,804,650,91.1,24.8,0.0,209
0.38,802,650,91.2,24.8,0.0,210
0.38,796,650,91.3,24.8,0.0,211
0.38,797,649,91.3,24.7,0.0,212
0.38,801,650,91.4,24.7,0.0,213
0.38,804,650,91.4,24.7,0.0,214
0.38,800,650,91.5,24.7,0.0,215
0.38,796,650,91.5,24.7,0.0,216
0.38,797,650,91.6,24.7,0.0,217
0.38,802,650,91.6,24.7,0.0,218
0.37,804,650,91.6,24.7,0.0,219
0.38,799,650,91.7,24.7,0.0,220
0.38,796,650,91.7,24.6,0.0,221
0.38,797,650,91.8,24.6,0.0,222
0.38,803,650,91.8,24.6,0.0,223
0.38,803,650,91.8,24.6,0.0,224
0.37,800,650,91.8,24.6,0.0,225
0.38,795,650,91.9,24.6,0.0,226
0.38,799,650,91.9,24.5,0.0,227
0.38,804,650,92.0,24.5,0.0,228
0.38,803,650,92.0,24.5,0.0,229
0.38,798,650,92.0,24.5,0.0,230
0.38,796,650,92.1,24.5,0.0,231
0.38,799,650,92.1,24.5,0.0,232
0.38,804,650,92.6,24.6,0.0,233
0.38,802,650,93.0,24.6,0.0,234
0.38,797,650,93.0,24.6,0.0,235
0.38,796,650,93.1,24.6,0.0,236
0.38,802,650,93.1,24.6,0.0,237
0.38,804,650,93.2,24.6,0.0,238
0.38,801,650,93.2,24.6,0.0,239
0.38,796,650,93.3,24.6,0.0,240
0.38,797,650,93.4,24.7,0.0,241
0.38,801,650,93.4,24.7,0.0,242
0.38,804,650,93.4,24.7,0.0,243
0.38,800,650,93.4,24.7,0.0,244
0.38,796,650,93.4,24.7,0.0,245
0.38,797,650,93.4,24.8,0.0,246
0.38,802,650,93.5,24.8,0.0,247
0.38,804,650,93.5,24.8,0.0,248
0.38,799,650,93.5,24.8,0.0,249
0.38,796,650,93.5,24.8,0.0,250
0.38,798,650,93.6,24.8,0.0,251
0.38,803,650,93.6,24.8,0.0,252
0.38,796,650,93.6,24.9,0.0,253
0.38,797,649,93.7,24.9,0.0,254
0.38,803,650,93.6,24.9,0.0,255
0.38,804,650,93.7,24.9,0.0,256
0.38,800,650,93.7,25.0,0.0,257
0.38,796,650,93.7,25.0,0.0,258
0.38,799,650,93.7,25.0,0.0,259
0.38,803,650,93.8,25.1,0.0,260
0.38,803,650,93.8,25.1,0.0,261
0.38,798,650,93.8,25.1,0.0,262
0.38,796,650,93.8,25.2,0.0,263
0.38,799,650,93.9,25.2,0.0,264
0.38,804,650,93.9,25.3,0.0,265
0.38,802,650,93.9,25.3,0.0,266
0.38,797,650,93.8,25.4,0.0,267
0.38,796,650,93.6,25.4,0.0,268
0.38,801,650,93.6,25.5,0.0,269
0.38,804,650,93.6,25.4,0.0,270
0.38,801,649,93.7,25.5,0.0,271
0.38,797,650,93.6,25.5,0.0,272
0.38,797,650,93.6,25.5,0.0,273
0.39,802,650,93.6,25.5,0.0,274
0.38,804,650,93.6,25.5,0.0,275
0.38,801,650,93.6,25.5,0.0,276
0.38,796,650,93.6,25.5,0.0,277
0.38,798,650,93.6,25.5,0.0,278
0.38,804,650,93.6,25.5,0.0,279
0.38,804,650,93.6,25.5,0.0,280
0.38,800,650,93.6,25.5,0.0,281
0.38,796,650,93.6,25.5,0.0,282
0.38,799,650,93.6,25.5,0.0,283
0.38,803,650,93.6,25.5,0.0,284
0.38,804,650,93.6,25.4,0.0,285
0.38,799,650,93.7,25.4,0.0,286
0.38,796,650,93.7,25.4,0.0,287
0.38,800,650,93.7,25.4,0.0,288
0.38,804,650,93.7,25.4,0.0,289
0.38,803,650,93.7,25.4,0.0,290
0.38,797,650,93.7,25.3,0.0,291
0.38,796,650,93.7,25.3,0.0,292
0.38,800,650,93.7,25.3,0.0,293
0.38,804,650,93.7,25.3,0.0,294
0.38,802,650,93.7,25.3,0.0,295
0.38,796,650,93.7,25.3,0.0,296
0.38,796,650,93.8,25.3,0.0,297
0.38,802,650,93.8,25.2,0.0,298
0.38,797,650,93.8,25.3,0.0,299
0.38,796,650,93.8,25.2,0.0,300
0.38,801,650,93.8,25.2,0.0,301
0.39,804,650,93.8,25.2,0.0,302
0.39,802,650,93.8,25.2,0.0,303
0.38,796,650,93.8,25.2,0.0,304
0.39,797,650,93.8,25.2,0.0,305
0.38,803,650,93.8,25.2,0.0,306
0.38,805,650,93.8,25.2,0.0,307
0.38,801,650,93.9,25.1,0.0,308
0.38,796,650,93.8,25.1,0.0,309
0.38,798,650,93.8,25.1,0.0,310
0.38,803,650,93.9,25.1,0.0,311
0.38,804,650,93.9,25.1,0.0,312
0.38,800,650,93.9,25.0,0.0,313
0.38,796,650,93.9,25.1,0.0,314
0.38,798,650,93.9,25.1,0.0,315
0.38,803,650,93.9,25.0,0.0,316
0.38,804,650,94.0,25.1,0.0,317
0.38,798,650,93.9,25.0,0.0,318
0.38,796,650,93.9,25.0,0.0,319
0.38,799,650,94.0,25.0,0.0,320
0.38,804,650,94.0,25.0,0.0,321
0.38,803,650,94.0,25.0,0.0,322
0.38,798,650,94.0,25.0,0.0,323
0.38,796,650,94.0,25.0,0.0,324
0.38,801,650,94.0,24.9,0.0,325
0.38,804,649,94.0,24.9,0.0,326
0.38,802,650,94.0,24.9,0.0,327
0.38,797,650,94.0,24.9,0.0,328
0.38,797,650,94.0,24.9,0.0,329
0.38,802,650,94.1,24.9,0.0,330
0.38,804,650,94.0,24.8,0.0,331
0.38,801,650,94.0,24.8,0.0,332
0.38,796,650,94.0,24.8,0.0,333
0.38,798,650,94.0,24.8,0.0,334
0.38,802,650,94.0,24.8,0.0,335
0.38,804,650,94.0,24.8,0.0,336
0.38,800,650,94.0,24.7,0.0,337
0.38,796,650,94.1,24.7,0.0,338
0.38,799,650,94.0,24.7,0.0,339
0.38,804,650,94.1,24.7,0.0,340
0.38,803,650,94.1,24.7,0.0,341
0.38,798,650,94.1,24.7,0.0,342
0.38,796,650,94.1,24.7,0.0,343
0.38,803,650,94.1,24.6,0.0,344
0.38,798,650,94.1,24.6,0.0,345
0.38,796,650,94.1,24.6,0.0,346
0.38,800,650,94.1,24.6,0.0,347
0.38,804,650,94.1,24.6,0.0,348
0.38,802,650,94.2,24.5,0.0,349
0.38,798,650,94.2,24.5,0.0,350
0.38,796,650,94.2,24.5,0.0,351
0.38,801,650,94.2,24.5,0.0,352
0.38,805,650,94.2,24.5,0.0,353
0.38,802,650,94.2,24.5,0.0,354
0.38,797,650,94.2,24.5,0.0,355
0.38,797,650,94.2,24.5,0.0,356
0.38,803,650,94.2,24.5,0.0,357
0.38,804,650,94.2,24.4,0.0,358
0.38,801,650,94.2,24.4,0.0,359
0.38,796,650,94.2,24.4,0.0,360
0.38,798,650,94.2,24.4,0.0,361
0.38,802,650,94.2,24.4,0.0,362
0.38,804,650,94.2,24.4,0.0,363
0.38,799,650,94.2,24.4,0.0,364
0.38,796,650,94.2,24.4,0.0,365
0.38,798,650,94.3,24.4,0.0,366
0.38,804,650,94.3,24.4,0.0,367
0.38,803,650,94.2,24.4,0.0,368
0.38,797,650,94.3,24.4,0.0,369
0.38,796,650,94.3,24.4,0.0,370
0.37,800,650,94.3,24.4,0.0,371
0.37,804,650,94.3,24.4,0.0,372
0.37,801,650,94.3,24.4,0.0,373
0.37,796,650,94.4,24.4,0.0,374
0.37,796,650,94.4,24.4,0.0,375
0.37,801,650,94.4,24.4,0.0,376
0.37,804,650,94.4,24.5,0.0,377
0.37,800,650,94.4,24.5,0.0,378
0.37,796,650,94.4,24.5,0.0,379
0.38,797,650,94.4,24.5,0.0,380
0.37,803,650,94.4,24.5,0.0,381
0.38,804,650,94.4,24.5,0.0,382
0.37,800,650,94.4,24.6,0.0,383
0.37,796,650,94.3,24.7,0.0,384
0.37,799,650,94.3,24.7,0.0,385
0.38,804,649,94.3,24.7,0.0,386
0.38,804,650,94.3,24.7,0.0,387
0.37,799,650,94.3,24.7,0.0,388
0.37,803,650,94.3,24.8,0.0,389
0.38,804,650,94.3,24.7,0.0,390
0.37,798,650,94.4,24.7,0.0,391
0.38,796,650,94.4,24.7,0.0,392
0.38,799,650,94.4,24.7,0.0,393
0.38,804,650,94.4,24.7,0.0,394
0.38,803,650,94.4,24.7,0.0,395
